年份,涵养水量/亿立方米,覆盖面积/万亩,降水量(mm),最大能见度,平均风速(knots),平均最大持续风速(knots),平均最大瞬时风速(knots),降尘量吨/月
1994,0.44,88.11,870.71,19.15,5,11.2,28.69,21.9
1995,0.46,89.85,649.22,18.35,5.4,11.78,28.01,20
1996,0.48,91.54,791.97,18.35,5.31,11.47,28.68,12.3
1997,0.51,93.15,463.3,18.02,4.91,11.02,26.72,16.4
1998,0.53,94.65,841.25,17.7,4.57,10.47,25.64,15.2
1999,0.56,96.02,49.02,16.42,4.61,10.44,24.85,14.95
2000,0.58,97.22,434.59,16.09,4.66,10.7,25.95,15.43
2001,0.61,98.23,448.56,19.15,4.92,10.62,27.65,15.18
2002,0.64,99,443.99,16.9,4.78,10.53,26.25,13.23
2003,0.68,99.58,471.17,16.58,4.75,10.64,25.69,11.98
2004,0.71,100.05,521.21,16.58,5.21,11.39,26.83,12.3
2005,0.75,100.44,467.61,18.35,5.8,12.17,27.59,12.5
2006,0.79,100.77,341.12,16.58,5.6,11.61,26.69,12.8
2007,0.83,101.08,530.35,17.38,5.41,11.36,26.75,11.7
2008,0.87,101.4,675.13,16.9,5.5,12.14,26.13,11.51
2009,0.92,101.75,617.73,11.59,5.79,12.66,25.13,11.13
2010,0.96,102.16,666.75,11.59,6.07,13.11,25.89,10.79
2011,1.01,102.67,788.67,12.39,5.97,12.7,25.23,10.35
2012,1.07,103.3,773.43,11.59,5.85,12.53,25.24,7.3
2013,1.12,104.3,661.92,14.97,5.61,12.19,23.82,8.23
2014,1.18,105.73,524.51,18.83,5.4,11.98,23.66,8.89
2015,1.24,107.39,483.36,14.81,5.44,11.83,23.53,9.42
2016,1.3,109.05,735.08,12.71,5.7,12.48,23.69,7.51
2017,1.37,110.5,710.44,23.01,5.73,12.67,24.47,8.4
2018,1.56,111.74,672.34,14.97,5.62,12.32,24.69,7.5
2019,1.94,112.93,490.47,14.0,5.56,12.26,23.05,5.8
2020,2.4,114.05,528.57,12.39,5.38,11.86,22.36,5.1
2021,2.84,115.1,699.52,10.78,5.4,12.04,23.18,4.83
